Z	A	 ME_EXP/keV 	 ER.(EXP)/keV 
81 	207 	-21110 	48 
81 	208 	-16814 	41 
80 	204 	-20544 	530 
80 	204 	-24798 	62 
80 	205 	-22258 	35 
80 	206 	-21010 	36 
80 	207 	-16380 	85 
79 	203 	-23120 	47 
79 	203 	-24382 	47 
79 	203 	-23087 	116 
79 	204 	-20514 	139 
79 	204 	-20558 	55 
79 	205 	-18964 	154 
79 	205 	-18003 	99 
79 	206 	-13815 	490 
78 	200 	-26688 	99 
78 	201 	-23690 	91 
78 	202 	-22609 	61 
78 	203 	-19882 	155 
78 	203 	-19917 	155 
78 	204 	-17846 	282 
77 	197 	-28289 	83 
77 	198 	-25544 	75 
77 	199 	-24254 	108 
77 	200 	-21220 	91 
77 	201 	-19576 	84 
77 	202 	-16604 	507 
76 	195 	-29264 	89 
76 	196 	-28204 	60 
76 	196 	-28321 	87 
76 	197 	-24814 	202 
76 	198 	-23684 	75 
76 	199 	-19671 	197 
76 	200 	-18342 	197 
75 	193 	-30233 	104 
75 	194 	-27047 	90 
75 	195 	-25394 	89 
75 	196 	-21840 	233 
74 	191 	-31182 	112 
74 	192 	-29731 	328 
74 	193 	-25870 	267 
73 	188 	-33714 	206 
73 	189 	-31644 	153 
73 	190 	-27686 	182 
72 	186 	-36482 	202 
